,address1
195,& DECOR CENTER LLC 750 SOUTH 13TH STREET
127,0-794 CHICAGO DRIVE
313,1 BRUSSELS STREET
837,1 EAGLE SQUARE
733,1 JFK STREET
473,1 ODELL PLAZA
500,1 RENAISSANCE PL UNIT 911
465,1 SUNSET DRIVE NORTH
298,10 ASHLAND ST
432,10 CHARLOTTE STREET
447,10 SOUTH MAIN STREET
140,100 S GLOCHESKI
182,100 SUNSET THOMPSON
904,1000 LINWOOD STREET
819,1001 SE WATER AVE STE 350
796,10096 HART AVE
920,101 FEDERAL ST. STE 1400
824,"101 MAIN ST, 14TH FL"
34,101-22 45TH AVENUE
71,1010 SANDHILL AVE
693,10101 W WINDSOR BLVD
863,1013 W UNIVERITY AVE SUITE 150
390,10212 CHESTERTON DRIVE
251,1022 N WESTERN ISLAND
896,1029 S CLAREMONT STREET
252,10366 COUNTRY HORN
921,10389 OLD PLACERVILLE RD
826,104 E FREDRICKS ST
891,1040 TULUNE AVENUE
336,10400 W. HIGGINS ROAD
245,10511 FM 1960 RD
77,1060 E SPRINGFIELD RD
371,1060 EAST MONTAGIE AVENUE NORTH
335,1065 AVENUE OF THE AMERICAS
629,107 ROCKY MEADOW STREET
747,107 SKILLMAN STREET SUITE 7B
112,108 FLORIDA AVE
589,"1080 N. BATAVIA ST, UNIT B"
611,1085 LYELL AVE
831,10850 E TRAVERSE HWY SUITE 5595
282,10850 SE FULLER ROAD
72,10911 W HWY 55 # 201
601,1094 N OLD US 27 PO BOX 186
366,10961 CHICAGO DR
621,10A MANOR PARKWAY
24,11 ROUNDABOUT DRIVE
306,11 TECHNOLOGY DR
513,110 AMBER CREEK DRIVE
839,110 KOALA COVE
481,1100 N CHICAGO AVE
816,1100 VERMONT AVENUE NW
276,1101 MELBOURNE RD SUITE 3037
146,1101 N RADDANT ROAD
787,11041 VANOWEN ST.
721,1108 W ELDORADO ST
803,111 CENTER PARK DRIVE STE 210
25,111 ORION ST
137,1112 EAST BERKS ST.
453,1114 S 11TH STREET
883,1119 HEMPHILL AVE
40,112 SOUTH MAIN STREET # 227
829,1121 18TH ST
743,113 E MAIN ST
699,113 MYRTLE ST
166,1138 HAMILTON NW
412,114 WEST BOYLSTON STREET
784,115 EAST GRACE STREET
192,1154 ROUTE 22 WEST
228,116 WEST 23RD STREET. # 500
716,11600 N RODNEY PARHAM RD
440,11625 SPRING CYPRESS RD UNIT B
670,1170 NORTH LINCOLN ST STE 105
834,11705 WEST PICO BLVD
67,1173 S CROCKER ST
317,11767 KATY FRWY # 410
201,"118 E. HOSPITAL, STE 203"
92,118-B KIRKLAND CIRCLE
759,11836 GONTRUM ROAD
789,1186 MILO RD
689,119 EASY GAP ROAD
208,1191 HOOKSETT RD.
346,1193 ROYVONNE AVE SE # 22
100,1198 PACIFIC COAST HWY D-331
434,12 INTERCHANGE DRIVE WEST
218,12 PETRA LANE
524,"12 POST OFFICE SQUARE, 6F"
795,120 LINDEN ST
774,120 MOUNTAIN AVE
132,120 STANLEY ST
157,1200 ROUTE 22E
97,1200 W SECOND ST
706,12000 INDIAN CREEK COURT STE B
812,1204 1ST AVENUE NE
368,12080 VALLEY BLVD
173,12113 KIRKHAM ROAD
426,122 WATER STREET
695,1220 S. MAIN STREET
560,1221 S MOPAC EXPY STE 100
623,12220 113TH AVE NE STE 210
655,1224 VETERANS BLVD
47,123 BANKER ST
852,123 BONNY LN
919,123 E CARLTON ST PO BOX 651
707,123 GLENWOOD DR
871,123 MAIN ST 9TH FL
278,12300 INWOOD ROAD STE 160
379,12330 JAMES STREET STE B40
474,1242 CARRABASSETT DRIVE
479,125 DONS WAY
882,125 DONS WAY
821,125 LAKE STREET WEST STE 212
413,"1250 H STREET NW, SUITE 1150"
21,126 S LYNNHAVEN ROAD
159,12603 FM 529
202,1261 EAST 289 TH STREET
559,12645 N SAGUARO BLVD # 5
139,12695 NE MARX STREET
461,127 CUSHNOC RD
701,127 N MAIN ST
321,13000 YOSEMITE AVE S
838,13125 PRESTWICK DR
39,133 WATER STREET
499,1335 LAKESIDE DR UNIT 6
329,134 SE RIO CASARANO PORT
856,13402 GLEN ERICA DRIVE
421,135 BARNHILL LANE
731,135-137 SPRING STREET
603,13595 12TH ST
436,13601 PROVIDENCE ROAD
594,13620 CRENSHAW BLVD.
460,1371 CLAGUE ROAD
136,13720 E 9 MILE RD
431,138 N BRAND BLVD STE 200
55,139 FULTON STREET # 501
108,13900 S LAKES DR STE F
430,14 BARBARA D LANE
765,14 FORDHAM RD
865,14 HILLAND DRIVE
160,14 WOOSTER STREET
260,140 HEAD TIDE ROAD
230,140 SHERMAN ST.
511,140 SOUTH SUNRISE WAY
360,1400 RESTFUL LN
616,14000 QUAILBROOK DR
757,14090 SOUTHWEST FRWY STE 300
672,"1411 BROADWAY, 4TH FLOOR"
668,1413 THOMPSON AVE SOUTH
885,1414 EAST MAPLE ROAD
61,1415 S LOS ANGELES STREET # A
172,142 WEST 26TH STREET
257,1423 S STATE COLLEGE BLVD
869,14233 O'CONNELL CT # 500
419,14275 COMMERCE DRIVE
515,144 GOULD STREET SUITE 152
710,1445 INGRID RD.
593,14504F LEE ROAD
296,1455 FOREST AVE
265,14647 DELAWARE STREET STE 1200
422,1466 OLD MILL RD
908,146A NORTH AVENUE
887,147 CALLS HILL ROAD
644,147 MAPLE ST.
23,147 SHERMAN STREET
88,14711 SINCLAIR CIR
191,1475 STAFFORD DRIVE
682,"148 W. 37TH ST., 6TH FLOOR"
558,14849 BURBANK BLVD
165,149 INDUSTRIAL ROAD
768,14921 RAVINIA AVENUE
376,"15 EAST SALEM AVE, SUITE 302"
89,15 SCHAUSS AVENUE
217,15 WEST 47TH ST STE 1807
464,15 WESTERN AVE
514,1500 BROADWAY
253,150A ANDOVER STREET
674,15105 MINNETONKA INDUSTRIAL RD STE 227
641,1515 S 21ST ST
758,1515 SOUTER
527,1520 WALTHAM RD
155,1523 GEHMAN ROAD
564,153 GREEN WOODS ROAD
581,15300 RIDING PATH COURT
126,15495 GRAHAM ST
771,1551 W 13TH ST UNIT 308
617,15550-D ROCKFIELD BLVD
633,15607 E. TACONY DRIVE
107,157 WATER ST
203,1570 THE ALAMEDA STE 150
480,1575 BOULDER ST UNIT A
610,1580 CHELSEA AVENUE
893,1585 N 4TH ST STE H
308,159 NILES HILL ROAD
41,1594 STATE RT 315
125,16 ABERDEEN STREET
769,16 COUNTRY CLUB RD
357,16 HARVARD AVENUE
459,16 MAPLE STREET
628,160 SARATOGA AVENUE
111,160 SOUTHBRIDGE STREET
327,1600 GOLF ROAD STE 1200
509,1601 LOCKPORT RD
243,16086 S. HARLEM AVENUE
926,161 GRANITE AVE
51,1612 FILBERT CT
96,16135 COQUINA BAY LANE
637,16170 SW UPPER BOONES FERRY RD
510,1620 NAOMI CT
855,16241 W. 581ST ST.
761,16255 VENTURA BLVD STE 525
892,16308 TEJON ST
116,165 HOLLAND AVE
519,1656-A AMEIL RD
525,1661 WORCESTER ROAD
408,16630 ASTON
557,1681 ELMHURST RD
577,1681 WALTON RD
901,1682 WOODLAND DRIVE
605,1683 ROUTE 17M W
393,1701 SANFORD RD
150,1701 STRATFORD AVENUE
418,1718 BELMONT AVE
815,1720 WASHINGTON RD
330,1725 GORSUCH AVE.
26,173 ORISKANY BLVD
428,174 WARREN HILL RD
550,1749 CHEROKEE
742,17571 SADDLE RIDGE CT
872,176 E. MAIN STREET SUITE 7
373,177 EAST INDUSTRIAL PARK DRIVE
156,177 S. OLD WOODWARD AVE.
174,1770 MASSACHUSETTS AVE. SUITE 167
385,1777 LARIMER ST. STE 1302
782,179 CHAMPIONSHIP WAY
333,17917 DIXIE HWY
93,18 HEMLOCK DRIVE
271,1800 SE 1ST STREET
692,18018 PLEASANTWOOD DR
914,18027 HWY 99 STE A
43,1806 SPRINGFIELD AVE
724,1809 S CATALINA AVE
745,1810 19TH STREET
728,1816 FLATBUSH AVE
78,1822 THUNDERBIRD AVE
777,1826 ELM HILL PIKE
568,1828 PAMPAS AVE
219,1841 LANCASTER ST
630,185 E PAULARINO AVENUE
469,18515 OLD STATESVILLE RD
33,18675 MADRONE PKWY # 100
410,1872 PLEASNTVILLE RD
727,188 COMMERCE CENTER CIRCLE
614,19 BROWN ROAD
624,19 PINE ROAD
444,19 VILLAGE SQUARE
643,1900 SHELTON DRIVE
204,"1901 E CARNEGIE AVE, UNIT 1M"
267,1902 S 8TH STREET
349,1907 WEATHERBEE DRIVE
361,1910 E 14TH ST
851,1910 FIRST STREET STE 306
383,1913 SOMERSET LANE
355,1920 WAUKEGAN RD STE 202
454,1929 CHALMERS DRIVE WEST
244,1934 W 51 ST
226,19365 BUSINESS CENTER DR STE 6
263,1990 MARLTON PIKE E STE 11
488,2 HAYES ROAD
809,2 RAVINIA DR STE 500
705,2 WALL STREET
607,20 NASHUA ST.
344,20 SQUADRON BLVD STE 330
739,20 WEIDY ROAD
836,2000 S MAIN
530,2007 ENGLISH RD
178,2007 WEST STATE STREET
50,201 DIXSON AVE
565,2010 WEST FULTON
539,2012 DUNBARTON DRIVE
669,2016 UTICA AVE
3,"202 US RTE 1, BOX 360"
590,2024 CORLIES AVENUE
746,203 SKOWHEGAN RD
772,2033 NORTH MAIN ST SUITE 355
854,"20333 TOMBALL PARKWAY, STE., 140"
456,2034 PLACENTIA AVENUE
318,2043 COLORADO AVENUE STE B
118,2060 BENNETT RD
767,2060D AVENIDA DE LOS ARBOLES SUITE # 288
805,20653 GOLF RIDGE CIRCLE
529,208 EATON MOUNTAIN RD
205,2080 HARTEL STREET
52,2090 COOMER ROAD
388,21 RIVER ROAD
536,210 DOYAL ROAD
569,2113 WELLS BRANCH PKWY SUITE 6050
48,2120 MILLER DRIVE SUITE
563,2120 MILLER DRIVE SUITE G
358,2126 ST JOHN RD
486,21320 OAKVIEW
591,2140 OAK INDUSTRIAL DR NE
709,2159 N RAND ROAD
425,2163 JOLLY RD
113,2171 S TRENTON WAY STE 208
820,219 BULIFANTS BOULEVARD
598,22 DURHAM STREET
636,220 RESERVOIR RD
167,221 W. MAPLE AVE.
151,2210 LUNDY AV
199,2218 W FRANKLIN STREET
407,2221 PEACHTREE RD SUITE D
659,223 WEST 35TH STREET
504,224 MINNESOTA DR
673,2240 E. LOCUS COURT
299,225 W. MAIN STREET
398,2250 ARNOLD PALMER DR.
802,22582 SW MAIN ST APT 309
691,2270 STILLWELL AVE.
85,228 EAST 45TH STREET
13,228 RIVER ROAD
403,229 KINGS HIGHWAY
522,23 COMMERCIAL ST
128,"23 FONTANA LANE, SUITE 109"
66,230 WEST 38TH STREET 8TH FLOOR
375,2300 POLE RD.
754,2301 TRACY PL NW
578,2302 E 38TH ST
664,2304 S. MAIN ST.
895,232 WATER STREET
345,2324 LOTUS AVE.
370,2325 S MICHIGAN AVE # 300
342,2330 E I30 (2330 HWY 67)
900,2332 N 7TH ST
281,23360 VALENCIA BLVD # R
723,23407 LYONS AVE
738,2344 VIA SEGUNDO
161,2359 HOLTON RD
640,236 OLD COUNTRY RD
238,237 EAST 44TH STREET
17,23908 INDIANWOOD ST
103,24 BARRY DRIVE NE
534,"24 BRUCE COURT, UNIT A"
555,24 COMMERCE STREET
663,24-30 47TH STREET
533,"2402 ROUTE 2, SUITE G"
259,2402 VICTORY BLVD
273,2409 HONOLULU AVE STE. # 1
683,241 E BROOK HOLLOW DR
722,24141 NOVI RD
411,2440 BROADWAY
452,246 UNION ST
492,2467 E LARAWAY RD
65,247 WEST 37TH STREET STE 1501
600,248 STOUGHTON POND ROAD
619,24871 GIBSON
224,25 WEST 36TH STREET
416,250 MARQUETTE AVE S STE 1300
785,"2500 TANGLEWILDE, STE. 431"
354,"2500 TANGLEWILDE, SUITE 431"
620,25000 HENRY B. JOY BOULEVARD
694,2513 CONOVER AVE
684,254 COMLY RD #
873,254 RIVER STREET
277,2555 W ALAMO AVE
506,2560 LORAIN RD
613,2565 JOHN B AVENUE
441,2565 NW LOVEJOY STREET SUITE 100
592,2577 RESEARCH DR.
647,26 DUDLEY STREET
842,2600 VAN BUREN STREET
152,2621 SUMMIT AVE STE 100
704,2634 HENRY ST
916,26427 HARPER AVE
501,2644 KNABE COURT
397,2671 N. LINCOLN AVE. # 3S
347,26899 NORTHWESTERN HWY. # 250
537,27 BEECH STREET
294,2714 W LAKE HOUSTON PKWY STE 180
389,2718 20TH STREET STE 201
648,2724 COUNTRY CLUB TERRACE
131,2725 BRANSFORD AVENUE
858,274 PARK CIRCLE
556,275 S VAN NESS AVE
708,2783 NE BUNN RD
377,2785 FOOTHILL BLVD
818,"28 VERNON ST., SUITE 319"
656,28 WORCESTER DRIVE
583,280 DUFFY AVE
478,280 WATERMAN BEACH RD
667,2800 SAN PABLO AVE
915,2803 E 208TH STREET
297,281 EAST BARNETT ROAD
523,282 MT PARAN ROAD NW
625,2821 BURTON AVE.
535,2829 E. GRAND RIVER AVE.
696,2831 CULVER ROAD
516,285 PIEDMONT ROAD
596,2868 CHAPMAN ST
310,29 MAYFIELD AVE UNIT A
646,29 W 36TH ST
261,2906 WEST MORENO STREET
576,2921 VIA
143,29300 KOHOUTEK WAY STE 120
675,294 20TH STREET
326,294 N WINOOSKI AVE
763,294 N WINOOSKI AVENUE
575,2950 LEONIS BLVD
903,3 CRICKET LN
227,3 MOUNT AIRY DR
472,30 B ST
466,30 GOOSE COVE ROAD
764,30 GREENFIELD STREET
881,30 UPPER ROAD CIRCLE # 217
924,"300 E STATE ST, STE 360"
880,3004 TOWN LINE RD # 5
341,301 W BARBEE CHAPEL RD STE 200
586,3015 S GRAND AVE
322,303 E STATE ST
339,30300 CHAGRIN BLVD
676,3039 S BAGLEY RD
627,304 ROMA JEAN PARKWAY
324,"3045 SYMMES RD, UNIT E"
391,3055 W. 111TH ST. 2 SOUTH
651,306 FIFTH AVENUE
736,31 PAGE AVENUE
794,31 STEWART ST
147,3109 NE 109TH AVE
285,311 EAST MAIN STREET
700,311 N. MAIN STREET
890,3113 PLAZA DRIVE
732,3120 WILMINGTON PIKE
106,3125 GRESHAM LAKE RD UNIT 116
792,31431 RANCHO VIEJO RD. STE 102
130,317 N WOODWORK LANE LLC 317 WOODWORK LANE
595,31732 VIA ANA
7,318 SOUTHBRIDGE ROAD
332,31831 CAMINO CAPISTRANO # 300A
718,31938 DAISY FIELD COURT
618,32 BLACKBURN CENTER
196,32 SOUTH MALL
830,320 CUMBERLAND AVE
587,3209 S. LINDEN ROAD
68,"321 DEAN ST., # 3"
437,3214 HONOLULU AVE.
414,325 WASHINGTON AVE SOUTH UNIT 393
409,33 BISHOP HOLLOW RD
807,33 CRESCENT ST
250,330 N LANTANA ST STE 27
340,3300 EAST FIRST AVENUE STE 650
84,3302 5TH AVENUE
660,332-336 E COMMONWEALTH AVE
378,3335 POTTER
28,3355 N CLARK UNIT 5S
843,336 FOLSOM DR.
597,336 PINEWOODS RD
249,3363 NORFOLK CHASE DR
608,337 SHERMAN AVENUE
405,339 MERRIMON AVE
184,34 NORTH STREET
343,34 SOUTHWEST PARK
124,34 W SHEFFIELD AVE
507,3400 BISSONNET ST STE 268
35,341 SURFVIEW DR
402,343 NORTH MAIN ST STE 201
64,3500 S AVALON BOULEVARD
783,3508 E. FLOWER ST.
841,3525 QUAKERBRIDGE ROAD
898,355 FOREST AVENUE
8,35520 FORTON COURT
176,356 E 600 S
255,35A MINEOLA AVENUE
18,36 BALLARDVALE ST
189,36 W 44 ST. STE 304
211,3611 WATKINGS ROAD
99,3612 128TH STREET
239,3649 NORTH ASHLAND AVENUE
380,3651 LINDELL RD D1075
573,368 BROADWAY SUITE 514
566,37 PAYNES WAY SUITE 001
715,3700 ATLANTA HIGHWAY
292,"3710 WEST ROYAL LANE, SUITE 125"
653,3750 ADMIRAL DR STE 102
396,3810 BEDFORD AVE SUITE 200
927,3824 N. GREENVIEW AVE; # 1
415,388 E. VALLEY BLVD STE 210-211
272,3901 S TELEGRAPH RD
562,3933 30TH STREET
427,394 CHESTNUT HILL ROAD
498,3940 PLANK ROAD STE J
221,3947 AUSTIN BLVD
749,398 CLARK ROAD
234,"399 CAMPUS DRIVE, SUITE 103"
45,4 LONGFELLOW PLACE APT 3401
417,4 RAILROAD ST
770,4 STAR CAMPS 2171 IVY RD STE 3
144,"4 TOWNSEND WEST, UNIT 17"
429,4 VESTAL ST
109,401 ROTARY STREET
367,4017 CHESTERTON ST
449,403 LITTLE EAST NECK RD
862,403 VONDERBURG DR STE 101
133,4048 W SCHUBERT
246,405 BROOME STREET
198,41 N MAIN ST
286,414 E. THOMAS STREET
521,415 CHESTNUT AVENUE
162,4150 VIKING DRIVE
406,4168 VICTORY BLVD
483,4172 S PACIFIC COAST HWY 110
638,418 BRIDGE STREET
438,4182 N ROOSEVELT ROAD
4,42 BRIAN'S WAY
847,42 STERLING STREET
540,42 SWETTS POND ROAD
859,"420 CRAIN HIGHWAY SOUTH, STE 3"
57,422 S. MAIN ST.
570,4220 WYANDOT ST
123,425 SMITH STREET
810,4300 FORBES BLVD. SUITE 110
384,4312 ALDER PLACE
671,433 CYPRESS LANE
80,435 E PARK CENTER CIRCLE
713,4355 NOTTINGHAM WAY
81,436 NINTH STREET
312,4360 S HAGGERTY ROAD
75,44 MITCHELL RD
74,44 MURPHY'S WAY
82,4404 BOEING DRIVE
799,44045 GRATIOT CLINTON
835,444 WASHINGTON STREET STE 520
922,447 E BROAD STREET
825,449 S PERKINS BLVD
698,45 BISCAY RD
90,"45 EASTERN PROM, 8D"
690,451 ANNURSNAC HILL RD
400,455 N WHISMAN STE 400
798,456 GLENBROOK RD
171,4575 WINTERS CHAPEL RD.
186,"4591 WIEUCA ROAD, NE"
362,46 FOWLE ST
304,46 LOT FIVE RD
688,46 PARK DRIVE
275,460 S VALLEY VIEW RD
574,4627 S ALAMEDA ST
635,465 WINDY POINT DR
319,4684 W WALTON BLVD
145,"469 EL CAMINO REAL, SUITE 100"
129,4694 WADSWORTH AVE
848,47 DUFOUR RD
54,"4709 GOLF ROAD, SUITE 300-A"
179,4724 OAKSHIRE DR
73,477 3RD STREET
30,4776 E JENSEN AVE
645,"48 WEST 48TH STREET, STE. 1610"
209,480 E TREMONT AVENUE
828,4810 BROWNSBORO RD
748,4816 PODS WAY
631,4841 INTERNATIONAL BLVD ST 105
424,489 LLC 7508 ASCOT CT
907,49 SUNNYSIDE AVE
599,4901 MORENA BLVD STE 601
254,4926 NORTH TRYON STREET
311,495 COLUMBIA STREET
104,"495 HORIZON DR., SUITE 200"
98,498 RIVER RD
485,5 CRESTWOOD DR
661,5 GASKILL AVENUE
181,50 PATTERSON AVE
120,50 PRESIDENTIAL DRIVE
315,50 WESTVALE DR
912,500 CANTERBURY STREET
121,500 OGDEN AVE
719,501 ROUTE 73 SOUTH
154,50207 HAYES RD
235,505 WORCESTER ST
541,50731 WING DR
702,508 N LA HOMA RD STE C
549,509 S MAIN ST
725,5100 FALLS ROAD 32 VILLAGE SQUARE
293,5131 CYPRESS DR
508,518 STATE ST
115,52 HOYCLO ROAD
149,520 EAST INDUSTRIAL PARK DRIVE
423,5215 CARRIAGE DRIVE CIRCLE
301,522 US HWY 9 NORTH # 198
571,525 W 66TH STREET
897,5256 HEATHROW AVE
554,526 EDWARDS AVE
833,"530 B ST, STE 2300"
822,530 SMITHFIELD AVENUE
800,5301 DITCHLEY ROAD
69,5320 GULFTON STREET STE 1
626,5339 PROSPECT ROAD # 126
775,534 WILLOW AVENUE 200
913,5371 BANCROFT AVE.
269,54 SIP AVE
853,54-40 MYRTLE AVENUE
193,542 ROSE AVE
141,544 CLARK ROAD
512,5482 ARROW HWY
680,55 CLEMENT ST.
148,550 S. PACIFIC STREET SUITE A100
316,550 SEAGAZE DR. APT 31
489,5512 MEADOW RUN
484,555 US ROUTE 1
433,5589 PEACHTREE ROAD
188,56 SOUTH ST
717,563 MASSACHUSETTS AVE
266,565 E SANTA CLARA ST
780,5673 N BARSTOW AVE
801,57-35 LAWRENCE STREET
606,5738 THORNWOOD DR
844,577 EAST BETHEL RD
241,5830 TRIANGLE DRIVE
832,5875 NEW PEACHTREE ROAD SUITE A
280,59 MAIN STREET
401,590 3RD STREET
776,5904 WEBB BRIDGE CT
520,5910 N CENTRAL EXPWY STE 255
553,5935 WOODLAND AVE
300,5939 DARWIN COURT
314,594 BROADWAY
56,594 BROADWAY 11TH FL
295,595 MAIN ST STE 5
2,6 DUMOND ROAD
392,6 JERUSALEM ROAD
917,6 SMITH AVENUE OLD
778,6 STATE ST
338,60 BROAD STREET 38TH FLOOR
446,600 BRIDGE PLAZA
442,600 N EUCLID AVE # 202
666,600 SANDAU STE 400
773,601 S LASALLE # 400
906,6013 BEDFORD AVENUE
36,602 COOPER ROAD
458,602 S CHAPEL GATE LANE
650,603 ROYAL RD
857,6040 DELONG ROAD
547,61 DEWEY AVENUE STE B
305,61 FOREST CTY RD
175,612 NORTH AVE E
561,615 SPANISH OAK TRAIL
542,62 HARROB AVENUE
101,62 SCRIPPS RD
53,6203 PINE HEIGHTS DRIVE
884,622 NW 23RD AVE
760,622 WEST COLORADO STREET
551,624 KNICKERBOCKER ST
866,624 S CENTRAL AVE
337,"625 W.RIDGE PIKE, BLDG E, STE 207"
142,630 W LAMBERT ROAD
455,634 EUCLID AVENUE
793,6365 CAXTON STREET
114,640 TAFT STREET NE
470,6421 ENGLISH OAK COURT
813,644 WINDETT LANE
213,645 HAWAII ST
622,645 HAYWARD AVE N STE 645
180,6464 AROUND THE HILLS ROAD
302,647 CUSHING RD
860,650 DOUGLAS DR # 101
352,650 E CARMEL DRIVE STE 200
496,6500 XENIUM LANE
382,6625 WAGNER WAY
632,67 BUCKINGHAM DR
894,67 MARKET
567,"67 WEST STREET, SUITE 401 UNIT C29"
678,6716 ORCHARD LAKE RD
279,6752 SHADY OAK RD
0,6799 OAKS RD STE 200
70,6801 W SIDE AVE
164,685 MARKET STREET
153,688 PARKRIDGE AVENUE
222,6892 SOUTHWEST FREEWAY SUITE B
823,690 AIRPARK ROAD
909,690 HOLCOMB BRIDGE RD # 150
804,698 OXFORD RIDGE DR
395,70 CAMPUS DRIVE
95,70 OAK STREET
490,70 ROCKVILLE ST
448,700 ALDO AVE
91,700 FARGO ELK GROVE VILLAGE
247,701 DEL NORTE
580,71 SPRING STREET
364,7107 BROADWAY
6,7113 THREE CHOPT ROAD STE 210
284,72 GREENWICH AVENUE
497,7213 WINDMILL LANE
457,722 ROUTE 3A SUITE 2
518,7221 ENGLE RD SUITE 250
753,723 QUEEN ST
677,725 RIVER ROAD STE 105A
63,728 EAST COMMERCIAL STREET
849,73 HUSTON ROAD
76,730 W RANDOLPH ST SUITE 300
827,732 LENOX AVENUE APT B1
16,7357 MURRAY RIDGE RD
60,736 E 29TH ST
372,737 W EXCHANGE ST
711,74 ISLAND POND ROAD
229,748 SOUTHERN BLVD
886,75 MERIDIAN STREET
59,755 BANFIELD ROAD SUITE 1
1,756 ROCK BRIDGE RD
325,76 GREEN ST
190,76BRAVE BOAT HARBOR ROAD
223,774 HAUNTED LANE
206,774 HWY 11 SW
712,78 ROUTE 303
609,7801 NORTH LAMAR # E190
517,7823 LUDINGTON DR
585,7837 OCEAN GATEWAY
138,788 BOOTHBAY ROAD
11,79 BOXWOOD ROAD
734,8 JACKSON BLVD
353,8 KENDAL AVENUE
289,8 MALVERN AVENUE
170,8 SHORT STREET
15,8 WINNEMAY ST APT 2
612,800 FREEPORT PKWY SUITE 150
288,802 N KELLER DR
105,8021 WING AVE
194,8082 SW NIMBUS AVE # 6-A
83,809 A PROFESSIONAL PLACE W
889,8111 GENTRY AVE
681,83 BRIDGEWOOD LANE
604,8312 MUIRFIELD DR
811,8328 E HARTFORD DRIVE STE 102
730,8344 BEVERLY BLVD
552,837 PERFORMANCE DRIVE
840,838 SOUTH BROAD STREET
29,8380 MIRALANI DR # A
237,840 NW 6TH
503,8476 S CENTRAL AVE
283,850 FALKIRK STREET
686,8540 HORSESHOE LN
290,86 EAST 3RD STREET
899,862 HIGLAND DR
588,8626 SEPULVEDA BLVD
791,865 WATERMAN AVENUE UNIT F
443,870 S COLORADO BLVD
163,8708 S CONGRESS AVE
861,"871 S. GOVERNORS AVE, STE 2"
726,875 MERRIAM AVE
445,8811 WARREN H ABERNATHY HWY
572,8820 MINER ST
37,883-889 MAIN STREET
439,89 TRAVER RD
687,8902 ROBIN HILL DR
86,8906 S HARLEM AVE
634,891 14TH STREET APT 3103
888,8935 W GRAND AVE
215,8936 OAK GROVE RD
14,9 RING AVE
697,901 HOPETON ROAD
274,901 N. CENTRAL AVE
505,903 RIDGE RD
582,9034 BERMUDEZ STREET
918,905 DIVISION ST.
902,905 LOWER SOUTH MAIN ST
79,9101 PERKINS ST
102,914 RIDGE ROAD
658,9142 INDEPENDENCE AVE
910,919 E 2ND AVE
256,92 EAST MAIN ST
531,93 INDUSTRIAL PARK RD
365,932 SPRING ST SUITE 203
19,9333 W INNISWOLD RD
214,934 R WASHINGTON STREET
502,948 JAMAICA AVENUE
240,949 VOX HWY
639,95 EAST TEN MILE RD
786,951 MAMMOTH ROAD
42,9545 GROSSMONT SUMMIT DRIVE
468,96 MAIN ST
291,968A MAIN STREET
268,969 ARSENAL ST
187,9724 PULASKI HWY
766,99 MAIN STREET
752,9900 S CHANNEL DR
117,9915 S. ALBURTIS AVE.
94,9931 FALL CREEK RD
740,994 VIRGINIA AVENUE
348,A ACTIVE KEY & LOCK SERVICE 2953 N ASHLAND
720,AID CENTER INC. 681 MAIN ST
615,AND 2220 GREEN LEAF LLC 2220 GREENLEAF STREET
369,C/O CHRISTI BONACCORSI ONE PARKVIEW PLAZA STE 620
877,CAMBRIDGE PLAZA 50 E HARBOR DR
177,COMPANY 2422
387,EDUCATION CENTER INC 1302 JW DAVIS DRIVE
270,G-3290 CORUNNARD
662,LLC 2054
386,LLC 2508 STRAWBERRY PATCH CT.
394,LLC 2626 WYATT DR
31,LLC 449 A PIGEON STREET
46,LLC 715
334,MN TOWER LLC 126 WEST JOHNSON AVE.
49,MOUNTAIN BROOK WATER 100 AVENUE C
526,P.O. BOX 390 1291 MAIN STREET
475,PO BOX 310 5972 70TH AVE
579,STE 801
158,UNIT 3A 399 H STREET
744,W6211 BRIDGE ROAD