ADDRESSES,SEQUENCE
123 main st,"[['DIGIT'], ['ALPHA'], ['WAY']]"
1217 iris ct,"[['DIGIT'], ['ALPHA'], ['WAY']]"
123 east main st,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
310 W MAIN ST,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
123 south main street.,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['PERIOD']]"
90 south park rd,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
987 el canyon ave,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY']]"
333 st james st,"[['DIGIT'], ['PRE'], ['ALPHA'], ['WAY']]"
123 west hill,"[['DIGIT'], ['DIR'], ['ALPHA']]"
77 el camino real,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['ALPHA']]"
1 bay st # b,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]"
1 bay rd # b,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]"
43 HUDSON AVE # 2,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
111 san vicente blvd,"[['DIGIT'], ['PRE'], ['ALPHA'], ['WAY']]"
28 black watch way,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY']]"
249 route 206,"[['DIGIT'], ['WAY'], ['DIGIT']]"
5500 lost tree,"[['DIGIT'], ['ALPHA'], ['ALPHA']]"
996 san benito st,"[['DIGIT'], ['PRE'], ['ALPHA'], ['WAY']]"
899 embarcadero,"[['DIGIT'], ['ALPHA']]"
177 montague e,"[['DIGIT'], ['ALPHA'], ['DIR']]"
2001 W COURT ST,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
12545 S HIGHWAY J,"[['DIGIT'], ['DIR'], ['WAY'], ['LETTER']]"
437 S HIGHWAY 101 STE 501,"[['DIGIT'], ['DIR'], ['WAY'], ['DIGIT'], ['APT'], ['DIGIT']]"
12940 S HIGHWAY 259,"[['DIGIT'], ['DIR'], ['WAY'], ['DIGIT']]"
775 E 14 MILE RD,"[['DIGIT'], ['DIR'], ['DIGIT'], ['ALPHA'], ['WAY']]"
4701 VAN DAM ST,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY']]"
3201 NEW MEXICO AVE NW STE 246,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['DIGIT']]"
111 RIO RANCHO BLVD SE,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR']]"
17259 WILD HORSE CREEK RD,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY']]"
12587 FAIR LAKES CIR STE 141,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
107 E MARIPOSA DR,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
401 W FORT WILLIAMS ST,"[['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['WAY']]"
3242 E DESERT INN RD STE 17,"[['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
14238 44ND AVE,"[['DIGIT'], ['NUMSTR'], ['WAY']]"
106 HARVEST HILL LN,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY']]"
206 ELMHURST DR APT F15,"[['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM']]"
655 COUNTY ROAD 1300,"[['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT']]"
50 LOS PATOS WAY,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY']]"
1001 N 60TH ST,"[['DIGIT'], ['DIR'], ['NUMSTR'], ['WAY']]"
5350 S SANTA FE DR,"[['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['WAY']]"
638 18TH ST,"[['DIGIT'], ['NUMSTR'], ['WAY']]"
210 E 3RD AVE,"[['DIGIT'], ['DIR'], ['NUMSTR'], ['WAY']]"
1390 SW 160TH AVE,"[['DIGIT'], ['DIR'], ['NUMSTR'], ['WAY']]"
171 NE 212TH ST,"[['DIGIT'], ['DIR'], ['NUMSTR'], ['WAY']]"
712 B MAIN ST,"[['DIGIT'], ['LETTER'], ['ALPHA'], ['WAY']]"
2060 B MOUNTAIN BLVD,"[['DIGIT'], ['LETTER'], ['ALPHA'], ['WAY']]"
123 avenue c,"[['DIGIT'], ['WAY'], ['LETTER']]"
717B GRAVES ST,"[['ALNUM'], ['ALPHA'], ['WAY']]"
1234 7TH AVENUE,"[['DIGIT'], ['NTH'], ['WAY']]"
205 3RD AVE APT 3K,"[['DIGIT'], ['NTH'], ['WAY'], ['APT'], ['ALNUM']]"
462 7TH AVE FL 2,"[['DIGIT'], ['NTH'], ['WAY'], ['ALPHA'], ['DIGIT']]"
219 2ND AVE SE STE 101,"[['DIGIT'], ['NTH'], ['WAY'], ['DIR'], ['APT'], ['DIGIT']]"
10859 12TH AVE SW,"[['DIGIT'], ['NTH'], ['WAY'], ['DIR']]"
4401 LOOP 322,"[['DIGIT'], ['ALPHA'], ['DIGIT']]"
8690 EDGE OF TEXAS,"[['DIGIT'], ['ALPHA'], ['ARTI'], ['ALPHA']]"
487 RITCHIE HWY B102,"[['DIGIT'], ['ALPHA'], ['WAY'], ['ALNUM']]"
366 RAILROAD AVE LOT 31,"[['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
1631A S MAIN ST,"[['NUMS_1A'],['DIR'],['ALPHA'],['WAY']]"
338A 7TH AVE,"[['NUMS_1A'],['NTH'],['WAY']]"
1771A PRINCESS ANNE RD,"[['NUMS_1A'], ['ALPHA'], ['ALPHA'], ['WAY']]"
751 ROUTE 37 W,"[['DIGIT'], ['WAY'], ['DIGIT'], ['DIR']]"
73140 HIGHWAY 111 STE 6,"[['DIGIT'], ['WAY'], ['DIGIT'], ['APT'], ['DIGIT']]"
476534 HIGHWAY 95 STE A,"[['DIGIT'], ['WAY'], ['DIGIT'], ['APT'], ['LETTER']]"
225 LA PALOMA APT A,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['APT'], ['LETTER']])"
3200 SISK RD STE C,"[['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']])"
2584 US HIGHWAY 80 W,"[['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['DIR']])"
2387 PORTOLA RD STE A,"[['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']])"
118 N 300 W,"[['DIGIT'], ['DIR'], ['DIGIT'], ['DIR']]"
1027 S WESTERN AVE # 2,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
690 S STATE HIGHWAY 5,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['DIGIT']]"
3070 W CHAPMAN AVE STE A,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]"
1420 E PLAZA BLVD STE D5,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM']]"
82 S MAIN ST # 2,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY', 'PRE'], ['POUND'], ['DIGIT']]"
473 S MAIN ST STE A,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]"
1029 W BATTLEFIELD ST APT E214,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY', 'PRE'], ['APT'],['ALNUM']]"
3843 S BRISTOL 213,"[['DIGIT'], ['DIR'], ['ALPHA'], ['DIGIT']]"
